"Resort name and website","Nearest city","State/province","Peak elevation (ft)","Base elevation (ft)","Vertical drop (ft)","Skiable acreage","Total trails","Total lifts","Avg annual snowfall (in)","Adult weekend lift ticket window price (USD)","Date statistics updated"
"Kewaunee Winter Park , URL: https://www.visitkewauneecounty.com/explore/parks-and-trails/winter-park-recreation/
","Kewaunee , URL: /wiki/Kewaunee,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","740","580","160","","5","1","","$15","December 9, 2019[337]"
"Keyes Peak Ski Hill , URL: https://www.florencecountywi.com/departments/page_18ec7c8fa753/?department=b911d343d487&subdepartment=f28c7bf9208f
","Florence , URL: /wiki/Florence_(town),_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,480","1,250","230","","5","2","60","$12","December 9, 2019[338]"
"Little Switzerland Ski Area , URL: /wiki/Little_Switzerland_(Wisconsin)
","Slinger , URL: /wiki/Slinger,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,269","1,069","200","50","18","8","45","$43","December 9, 2019[339]"
"Mont Du Lac Resort , URL: https://www.mdlresort.com/
","Superior , URL: /wiki/Superior,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","920","640","270","10","11","2","55","$40","December 9, 2019[340]"
"Grand Geneva Resort and Spa , URL: https://www.grandgeneva.com/
","Lake Geneva , URL: /wiki/Lake_Geneva,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1000","789","211","30","20","5","25","$55","December 9, 2019[341]"
"Mount Ashwabay Ski and Recreation Area , URL: https://www.mtashwabay.org/
","Bayfield , URL: /wiki/Bayfield,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","","","317","65","13","2","","$26","December 9, 2019[342]"
"Mount La Cross , URL: http://mtlacrosse.com/
","La Crosse , URL: /wiki/La_Crosse,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,010","594","516","100","19","4","40","$58","December 9, 2019[343]"
"Navarino Hills , URL: http://www.skinavarino.com/
","Shiocton , URL: /wiki/Shiocton,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","885","785","100","","","4","","Temporarily Closed","December 9, 2019[344]"
"Nordic Mountain , URL: https://www.nordicmountain.com/
","Wild Rose , URL: /wiki/Wild_Rose,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,137","872","265","60","18","7","80","$39","December 9, 2019[345]"
"Nutt Hill Ski Area","Plymouth , URL: /wiki/Plymouth,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","","","100","10","2","1","","Temporarily Closed","December 9, 2019[346]"
"Powers Bluff County Park and Winter Recreation Area , URL: https://www.co.wood.wi.us/Departments/Parks/PowersBluff.aspx
","Arpin , URL: /wiki/Arpin,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,430","1,180","250","","3","2","","$10","December 9, 2019[347]"
"Standing Rocks County Park and Winter Recreation Area , URL: https://www.co.portage.wi.us/department/parks/standing-rocks-park
","Portage , URL: /wiki/Portage,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","","","125","","5","1","","$16","December 9, 2019[348]"
"Sunburst Winter Sports Park , URL: https://skisunburst.com/
","West Bend , URL: /wiki/West_Bend,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,100","866","214","40","12","9","50","$44","December 9, 2019[349]"
"Triangle Sports Area , URL: https://greenbaywi.gov/338/Sledding-Downhill-Skiing-Snowboarding
","Green Bay , URL: /wiki/Green_Bay,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","710","640","70","","2","3","","$5","December 9, 2019[350]"
"Trollhaugen , URL: /wiki/Trollhaugen
","Dresser , URL: /wiki/Dresser,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,200","920","280","86","24","10","50","$55","December 9, 2019[351]"
"Tyrol Basin , URL: /wiki/Tyrol_Basin
","Mount Horeb , URL: /wiki/Mount_Horeb,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,130","870","260","30","16","6","41","$48","December 9, 2019[352]"
"Whitecap Mountains Resort , URL: https://whitecapresort.com/
","Upson , URL: /wiki/Upson,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,750","1,295","400","400","43","5","200","$65","December 9, 2019[353]"
"Whitetail Ridge Ski Area , URL: https://mccoy.armymwr.com/programs/whitetail-ridge-ski-area
","Fort McCoy , URL: /wiki/Fort_McCoy,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","1,050","865","185","","","1","","$37","December 9, 2019[354]"
"Wilmot Mountain Ski Resort , URL: /wiki/Wilmot_Mountain
","Wilmot , URL: /wiki/Wilmot,_Wisconsin
","Wisconsin , URL: /wiki/Wisconsin
","960","770","190","120","23","11","48","$65","December 9, 2019[355]"
"Alpine Valley , URL: http://www.skialpinevalley.com/
","White Lake , URL: /wiki/White_Lake_Township,_Michigan
","Michigan , URL: /wiki/Michigan
","500","126","374","100","25","14","20","$48","December 9, 2019[356]"
"Apple Mountain , URL: https://www.applemountain.com/
","Freeland , URL: /wiki/Freeland,_Michigan
","Michigan , URL: /wiki/Michigan
","820","600","220","80","12","6","52","Temporarily Closed","December 9, 2019[357]"
"Big Powderhorn Mountain Resort , URL: /wiki/Big_Powderhorn_Mountain
","Bessemer , URL: /wiki/Bessemer,_Michigan
","Michigan , URL: /wiki/Michigan
","1,800","1,200","600","253","45","10","214","$69","December 9, 2019[358]"
"Bittersweet Ski Resort , URL: https://www.skibittersweet.com/
","Otsego , URL: /wiki/Otsego,_Michigan
","Michigan , URL: /wiki/Michigan
","850","450","400","100","20","12","90","$50","December 9, 2019[359]"
"Big Snow Resort , URL: /wiki/Blackjack_Ski_Resort_(Bessemer,_Michigan)
","Bessemer , URL: /wiki/Bessemer,_Michigan
","Michigan , URL: /wiki/Michigan
","1,935","1,297","638","321","56","17","205","$65","December 9, 2019[360]"
"Boyne Highlands Resort , URL: /wiki/Boyne_Highlands
","Harbor Springs , URL: /wiki/Harbor_Springs,_Michigan
","Michigan , URL: /wiki/Michigan
","1,290","745","545","435","55","10","140","$75","December 9, 2019[361]"
"Caberfae Peaks , URL: /wiki/Caberfae_Peaks_Ski_%26_Golf_Resort
","Cadillac , URL: /wiki/Cadillac,_Michigan
","Michigan , URL: /wiki/Michigan
","1,569","1,060","485","200","34","5","140","$59","December 9, 2019[362]"
"Cannonsburg Ski Area , URL: https://cannonsburg.com/
","Belmont , URL: /wiki/Belmont,_Michigan
","Michigan , URL: /wiki/Michigan
","1,100","850","250","100","21","10","100","$39","December 9, 2019[363]"
"Crystal Mountain , URL: /wiki/Crystal_Mountain_(Michigan)
","Thompsonville , URL: /wiki/Thompsonville,_Michigan
","Michigan , URL: /wiki/Michigan
","1,132","757","375","102","58","8","132","$74","December 9, 2019[364]"
"Hickory Hills Ski Area , URL: http://www.traversecitymi.gov/hickory_hills.asp
","Traverse City , URL: /wiki/Traverse_City,_Michigan
","Michigan , URL: /wiki/Michigan
","","","237","125","8","5","","$25","December 9, 2019[365]"
"The Homestead , URL: https://www.thehomesteadresort.com/
","Glen Arbor , URL: /wiki/Glen_Arbor_Township,_Michigan
","Michigan , URL: /wiki/Michigan
","900","580","320","16","15","5","150","$39","December 9, 2019[366]"
"Marquette Mountain Ski Area , URL: /wiki/Marquette_Mountain
","Marquette , URL: /wiki/Marquette,_Michigan
","Michigan , URL: /wiki/Michigan
","1,257","800","457","169","25","4","117","$54","December 9, 2019[367]"
"Mont Ripley Ski Area , URL: https://www.mtu.edu/mont-ripley/
","Hancock , URL: /wiki/Hancock,_Michigan
","Michigan , URL: /wiki/Michigan
","1,140","700","440","112","25","4","275","$52","December 9, 2019[368]"
"Mount Bohemia , URL: /wiki/Mount_Bohemia
","Mohawk , URL: /wiki/Mohawk,_Michigan
","Michigan , URL: /wiki/Michigan
","1,500","600","900","585","102","2","273","$74","December 9, 2019[369]"
"Mount Brighton , URL: /wiki/Mount_Brighton
","Brighton , URL: /wiki/Brighton,_Michigan
","Michigan , URL: /wiki/Michigan
","1,330","1,100","230","130","26","13","60","$64","December 9, 2019[370]"
"Mount Holiday Ski and Recreational Area , URL: http://mt-holiday.com/
","Traverse City , URL: /wiki/Traverse_City,_Michigan
","Michigan , URL: /wiki/Michigan
","440","240","200","45","12","4","120","$34","December 9, 2019[371]"
"Mount McSauba , URL: https://www.cityofcharlevoix.org/331/Mt-McSauba
","Charlevoix , URL: /wiki/Charlevoix,_Michigan
","Michigan , URL: /wiki/Michigan
","650","400","150","80","10","4","","$18","December 9, 2019[372]"
"Mount Zion Ski Hill , URL: https://www.facebook.com/pages/category/Ski-Resort/Mt-Zion-Ski-Hill-1661215467451956/
","Ironwood , URL: /wiki/Ironwood,_Michigan
","Michigan , URL: /wiki/Michigan
","1,400","1,100","300","20","9","2","","$25","December 9, 2019[373]"
"Mulligan's Hollow Ski Bowl , URL: /wiki/Mulligan%27s_Hollow_Ski_Bowl
","Grand Haven , URL: /wiki/Grand_Haven,_Michigan
","Michigan , URL: /wiki/Michigan
","700","570","130","10","7","5","60","$20","December 9, 2019[374]"
"Norway Mountain Resort , URL: https://www.facebook.com/skinorwaymountain/
","Norway , URL: /wiki/Norway,_Michigan
","Michigan , URL: /wiki/Michigan
","1,335","835","500","186","17","6","100","$45","December 9, 2019[375]"
"Nub's Nob Ski Area , URL: /wiki/Nub%27s_Nob
","Harbor Springs , URL: /wiki/Harbor_Springs,_Michigan
","Michigan , URL: /wiki/Michigan
","1,338","911","427","248","53","10","123","$88","December 9, 2019[376]"
"Otsego Club and Resort , URL: https://www.otsegoclub.com/
","Gaylord , URL: /wiki/Gaylord,_Michigan
","Michigan , URL: /wiki/Michigan
","1,380","1,080","300","160","30","5","150","$65","December 9, 2019[377]"
"Petoskey Winter Sports Park , URL: https://www.petoskeyarea.com/member-detail/petoskey-winter-sports-park/
","Petoskey , URL: /wiki/Petoskey,_Michigan
","Michigan , URL: /wiki/Michigan
","790","720","70","","","1","","Free","December 9, 2019[378]"
"Pine Knob , URL: https://www.skipineknob.com/
","Clarkston , URL: /wiki/Clarkston,_Michigan
","Michigan , URL: /wiki/Michigan
","1,308","1,009","300","80","14","6","","$47","December 9, 2019[379]"
"Pine Mountain Resort , URL: https://www.pinemountainresort.com/
","Iron Mountain , URL: /wiki/Iron_Mountain,_Michigan
","Michigan , URL: /wiki/Michigan
","1,650","1,150","500","220","31","4","60","$49","December 9, 2019[380]"
"Porcupine Mountains Ski Area , URL: http://porkiesfun.com/
","Ontonagon , URL: /wiki/Ontonagon,_Michigan
","Michigan , URL: /wiki/Michigan
","1,360","720","640","200","19","3","","$45","December 9, 2019[381]"
"Shanty Creek Resort , URL: https://www.shantycreek.com/
","Bellaire , URL: /wiki/Bellaire,_Michigan
","Michigan , URL: /wiki/Michigan
","1,125","675","450","70","42","8","160","$74","December 9, 2019[382]"
"Ski Brule , URL: /wiki/Ski_Brule
","Stambaugh , URL: /wiki/Stambaugh_Township,_Michigan
","Michigan , URL: /wiki/Michigan
","1,861","1,361","500","150","17","11","150","$55","December 9, 2019[383]"
"Snow Snake Mountain Ski Area , URL: https://snowsnake.net///
","Harrison , URL: /wiki/Harrison,_Michigan
","Michigan , URL: /wiki/Michigan
","1,230","1,020","210","40","12","6","","$35","December 9, 2019[384]"
"Timber Ridge , URL: https://www.timberridgeski.com/
","Gobles , URL: /wiki/Gobles,_Michigan
","Michigan , URL: /wiki/Michigan
","850","650","200","50","16","8","","$45","December 9, 2019[385]"
"Treetops Resort , URL: https://treetops.com/
","Gaylord , URL: /wiki/Gaylord,_Michigan
","Michigan , URL: /wiki/Michigan
","1,345","1,120","225","80","23","5","175","$43","December 9, 2019[386]"
"Belleyare Ski Center , URL: /wiki/Belleayre_Ski_Center
","Kingston , URL: /wiki/Kingston,_New_York
","New York , URL: /wiki/New_York_(state)
","3,429","2,024","1,405","173","52","8","141","$80","December 10, 2019[387]"
"Gore Mountain Ski Resort , URL: /wiki/Gore_Mountain_(ski_resort)
","Glens Falls , URL: /wiki/Glens_Falls,_New_York
","New York , URL: /wiki/New_York_(state)
","3,600","1,000","2,600","428","109","15","150","$94","December 10, 2019[388]"
"Holiday Valley , URL: /wiki/Holiday_Valley_(ski_resort)
","Buffalo , URL: /wiki/Buffalo,_New_York
","New York , URL: /wiki/New_York_(state)
","2,250","1,500","750","290","58","13","180","$85","December 10, 2019[389]"
"Peek'n Peak Resort , URL: /wiki/Peek%27n_Peak
","Erie , URL: /wiki/Erie,_Pennsylvania
","New York , URL: /wiki/New_York_(state)
","1,800","1,400","400","130","27","9","105","$64","December 10, 2019[390]"
"Catamount Ski Area , URL: /wiki/Catamount_Ski_Area
","Great Barrington , URL: /wiki/Great_Barrington,_Massachusetts
","New York , URL: /wiki/New_York_(state)
","2,000","1,000","1,000","119","36","7","75","$30","December 10, 2019[391]"
"Greek Peak Mountain Resort , URL: /wiki/Greek_Peak_Mountain_Resort
","Virgil , URL: /wiki/Virgil,_New_York
","New York , URL: /wiki/New_York_(state)
","2,200","1,148","952","220","55","9","122","$79","December 10, 2019[392]"
"Titus Mountain Family Ski Center , URL: https://www.titusmountain.com/
","Malone , URL: /wiki/Malone,_New_York
","New York , URL: /wiki/New_York_(state)
","2,025","825","1,200","380","50","10","150","$49","December 10, 2019[393]"
"Kissing Bridge , URL: https://www.kbski.com/
","Glenwood , URL: /wiki/Glenwood,_New_York
","New York , URL: /wiki/New_York_(state)
","1,700","1,150","550","700","39","10","120","$65","December 10, 2019[394]"
"Holiday Mountain , URL: https://holidaymtn.com/
","Monticello , URL: /wiki/Monticello,_New_York
","New York , URL: /wiki/New_York_(state)
","1,550","1,150","400","37","9","4","50","$42","December 9, 2019[395]"
"Bristol Mountain Ski Resort , URL: /wiki/Bristol_Mountain_Ski_Resort
","Rochester , URL: /wiki/Rochester,_New_York
","New York , URL: /wiki/New_York_(state)
","2,150","1,000","1,150","160","35","6","130","$79","December 9, 2019[396]"
"Buffalo Ski Center , URL: https://www.buffaloskicenter.com/
","Colden , URL: /wiki/Colden,_New_York
","New York , URL: /wiki/New_York_(state)
","3,429","2,025","500","225","43","6","","$50","December 9, 2019[397]"
"Big Tupper Ski Area","Tupper Lake","New York , URL: /wiki/New_York_(state)
","","","","","","","","Temporarily Closed","December 9, 2019[398]"
"Hickory Ski Center","","New York , URL: /wiki/New_York_(state)
","","","","","","","","Temporarily Closed","December 9, 2019[399]"
"Four Season Ski Center , URL: https://www.fourseasonsgolfandski.com/
","Fayetteville , URL: /wiki/Fayetteville,_New_York
","New York , URL: /wiki/New_York_(state)
","604","545","59","12","4","2","","$24","December 10, 2019[400]"
"Maple Ski Ridge , URL: https://www.mapleskiridge.com/
","Schenectady , URL: /wiki/Schenectady,_New_York
","New York , URL: /wiki/New_York_(state)
","1,200","750","450","25","10","3","","$39","December 10, 2019[401]"
"McCauley Mountain Ski Center , URL: /wiki/McCauley_Mountain_(New_York)
","Old Forge , URL: /wiki/Old_Forge,_New_York
","New York , URL: /wiki/New_York_(state)
","2,280","1,647","633","70","21","5","200","$35","December 10, 2019[402]"
"Mount Pisgah Ski Area , URL: https://www.saranaclake.com/alpine-skiing/mt-pisgah-recreation-center
","Saranac Lake , URL: /wiki/Saranac_Lake,_New_York
","New York , URL: /wiki/New_York_(state)
","2,060","1,770","290","15","5","1","","$15","December 10, 2019[403]"
"Beartown Ski Area , URL: https://www.skibeartown.com/
","Plattburgh , URL: /wiki/Plattsburgh_(city),_New_York
","New York , URL: /wiki/New_York_(state)
","1,000","850","150","32","9","2","","$22","December 10, 2019[404]"
"Mount Peter , URL: https://www.mtpeter.com/
","Warwick , URL: /wiki/Warwick,_New_York
","New York , URL: /wiki/New_York_(state)
","1,250","800","450","69","14","5","50","$62","December 10, 2019[405]"
"Oak Mountain , URL: https://www.oakmountainski.com/
","Speculator , URL: /wiki/Speculator,_New_York
","New York , URL: /wiki/New_York_(state)
","2,400","1,650","750","46","22","4","120","$40","December 10, 2019"
"Royal Mountain Ski Area , URL: https://www.royalmountain.com/
","Johnstown , URL: /wiki/Johnstown_(city),_New_York
","New York , URL: /wiki/New_York_(state)
","1,800","1,250","550","35","14","3","90","$45","December 10, 2019[406]"
"Song Mountain Resort , URL: https://www.skicny.com/song/
","Tully , URL: /wiki/Tully,_New_York
","New York , URL: /wiki/New_York_(state)
","1,940","1,240","700","93","24","5","125","$61","December 10, 2019[407]"
"Snow Ridge Ski Resort , URL: https://snowridge.com/
","Turin , URL: /wiki/Turin,_New_York
","New York , URL: /wiki/New_York_(state)
","2,000","1,350","650","130","21","6","230","$48","December 10, 2019[408]"
"Labrador Mountain , URL: https://www.skicny.com/labrador/
","Truxton , URL: /wiki/Truxton,_New_York
","New York , URL: /wiki/New_York_(state)
","1,825","1,125","700","250","23","4","125","$61","December 10, 2019[407]"
"Swain Resort , URL: https://swain.com/
","Grove , URL: /wiki/Grove,_New_York
","New York , URL: /wiki/New_York_(state)
","1,970","1,320","650","130","35","5","120","$65","December 10, 2019[409]"
"Dry Hill Ski Area , URL: http://skidryhill.com/
","Watertown , URL: /wiki/Watertown_(city),_New_York
","New York , URL: /wiki/New_York_(state)
","950","650","300","37","7","3","125","$38","December 10, 2019[410]"
"Thunder Ridge Ski Area , URL: /wiki/Thunder_Ridge_Ski_Area
","Patterson , URL: /wiki/Patterson,_New_York
","New York , URL: /wiki/New_York_(state)
","1270","670","600","90","21","7","","$57","December 10, 2019"
"Tuxedo Ridge Ski Center , URL: /wiki/Tuxedo_Ridge_Ski_Center
","","New York , URL: /wiki/New_York_(state)
","","","","","","","","Temporarily Closed","December 10, 2019[411]"
"West Mountain , URL: /wiki/West_Mountain_(ski_area)
","Glens Falls , URL: /wiki/Glens_Falls,_New_York
","New York , URL: /wiki/New_York_(state)
","1,470","460","1,010","124","30","7","80","$79","December 10, 2019[412]"
"Willard Mountain , URL: http://www.willardmountain.com/
","Greenwich , URL: /wiki/Greenwich_(town),_New_York
","New York , URL: /wiki/New_York_(state)
","1,415","910","505","50","16","5","80","$47","December 10, 2019[413]"
"Toggenburg Mountain Ski Center , URL: https://www.skitog.com/
","Fabius , URL: /wiki/Fabius,_New_York
","New York , URL: /wiki/New_York_(state)
","2,000","1,300","700","85","22","5","130","$57","December 10, 2019[414]"
"Woods Valley Ski Area , URL: http://www.woodsvalleyskiarea.com/
","Rome , URL: /wiki/Rome,_New_York
","New York , URL: /wiki/New_York_(state)
","1,400","900","500","25","21","6","180","$39","December 10, 2019[415]"
"Brantling Ski Slopes , URL: http://www.brantling.com/
","Sodus , URL: /wiki/Sodus,_New_York
","New York , URL: /wiki/New_York_(state)
","850","600","250","20","10","5","110","$32","December 10, 2019[416]"
"Plattekill Mountain , URL: https://www.plattekill.com/
","Roxbury , URL: /wiki/Roxbury,_New_York
","New York , URL: /wiki/New_York_(state)
","3,500","2,400","1,100","110","38","4","175","$68","December 10, 2019[417]"
"Bromley Mountain Resort , URL: /wiki/Bromley_Mountain
","Manchester , URL: /wiki/Manchester,_Vermont
","Vermont , URL: /wiki/Vermont
","3,284","1,950","1,334","178","47","9","168","$92","December 10, 2019[418]"
"Burke Mountain , URL: /wiki/Burke_Mountain_Ski_Area
","Lyndonville , URL: /wiki/Lyndonville,_Vermont
","Vermont , URL: /wiki/Vermont
","3,267","1,210","2,011","178","50","6","217","$75","December 10, 2019[419]"
"Cochran's Ski Area , URL: https://cochranskiarea.com/
","Richmond , URL: /wiki/Richmond,_Vermont
","Vermont , URL: /wiki/Vermont
","950","600","350","15","8","3","150","$19","December 10, 2019[420]"
"Hard'ack Recreation Area , URL: https://stalbansvt.myrec.com/info/activities/program_details.aspx?ProgramID=21613
","St. Albans , URL: /wiki/St._Albans_(city),_Vermont
","Vermont , URL: /wiki/Vermont
","","","100","","","1","","Free","December 10, 2019[421]"
"Living Memorial Park , URL: http://www.vtsnowsports.org/
","Brattleboro , URL: /wiki/Brattleboro,_Vermont
","Vermont , URL: /wiki/Vermont
","1126","922","204","8","2","1","","$5","December 10, 2019[422]"
"Lyndon Outing Club , URL: http://www.skilyndon.com/
","Lyndon , URL: /wiki/Lyndon,_Vermont
","Vermont , URL: /wiki/Vermont
","1,247","814","433","32","10","2","","$15","December 10, 2019[423]"
"Mad River Glen , URL: /wiki/Mad_River_Glen
","Waitsfield , URL: /wiki/Waitsfield,_Vermont
","Vermont , URL: /wiki/Vermont
","3,637","1,600","2,037","115","52","5","230","$79","December 10, 2019"
"Jay Peak , URL: /wiki/Jay_Peak_Resort
","Jay , URL: /wiki/Jay,_Vermont
","Vermont , URL: /wiki/Vermont
","3,968","1,815","2,153","385","79","9","350","$89","December 10, 2019[424]"
"Magic Mountain , URL: /wiki/Magic_Mountain_Ski_Area
","Londonderry , URL: /wiki/Londonderry,_Vermont
","Vermont , URL: /wiki/Vermont
","2,850","1,350","1,500","205","51","6","150","$74","December 10, 2019[425]"
"Middlebury College Snow Bowl , URL: /wiki/Middlebury_College_Snow_Bowl
","Hancock , URL: /wiki/Hancock,_Vermont
","Vermont , URL: /wiki/Vermont
","2,720","1,720","1,000","110","17","3","250","$60","December 10, 2019[426]"
"Pico Mountain , URL: /wiki/Pico_Mountain
","Killington , URL: /wiki/Killington,_Vermont
","Vermont , URL: /wiki/Vermont
","3,967","2,000","1,967","468","57","7","250","$85","December 10, 2019[427]"
"Suicide Six , URL: /wiki/Suicide_Six
","Pomfret , URL: /wiki/Pomfret,_Vermont
","Vermont , URL: /wiki/Vermont
","1,200","550","650","100","23","3","110","$79","December 10, 2019[428]"
"Searchmont , URL: /wiki/Searchmont_Resort
","Sault Ste. Marie, Ontario , URL: /wiki/Sault_Ste._Marie,_Ontario
","Ontario , URL: /wiki/Ontario
","912","1470","700","100","21","4","132","$59","March 9, 2020[429][430]"
"Chapman Ski Hill , URL: https://www.durangogov.org/544/Ski-Hill
","Durango , URL: /wiki/Durango,_Colorado
","Colorado , URL: /wiki/Colorado
","7,297","6,522","775","7","1","2","71","$15","June 21, 2020[431]"
"Lee's Ski Hill , URL: http://www.ci.ouray.co.us/city_offices/city_resources/lee_s_ski_hill.php
","Ouray , URL: /wiki/Ouray,_Colorado
","Colorado , URL: /wiki/Colorado
","7,867","7,792","75","2","1","1","134","Free","June 21, 2020[432]"
"Whitewater Ski Resort , URL: /wiki/Whitewater_Ski_Resort
","Nelson , URL: /wiki/Nelson,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","6,709","4,665","2,044","1,180","46","4","472","",""
"Kimberley Alpine Resort , URL: /wiki/Kimberley_Alpine_Resort
","Kimberley , URL: /wiki/Kimberley,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","","","2,464","1,800","","","160","",""
"Nakiska , URL: /wiki/Nakiska
","Kananaskis","Alberta , URL: /wiki/Alberta
","7415","5003","2,412","1,021","79","6","100","",""
"Salmo Ski Area , URL: /wiki/Salmo_Ski_Area
","Salmo , URL: /wiki/Salmo,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","","","1,120","","","","120","",""
"Sasquatch Mountain , URL: /wiki/Sasquatch_Mountain_Resort
","Chehalis , URL: /wiki/Chehalis,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","","","1,100","300","","","","",""
"Mount Washington Alpine Resort , URL: /wiki/Mount_Washington_Alpine_Resort
","Courtenay , URL: /wiki/Courtenay,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","","","1,663","1,700","","","432","",""
"Manning Park , URL: https://www.manningpark.com/
","Manning Park","British Columbia , URL: /wiki/British_Columbia
","","","1,417","140","","","296","",""
"Mount Baldy Ski Area , URL: /wiki/Mount_Baldy_Ski_Area
","Oliver , URL: /wiki/Oliver,_British_Columbia
","British Columbia , URL: /wiki/British_Columbia
","","","1,293","600","","","256","",""
"Harper Mountain , URL: /wiki/Harper_Mountain
","Kamloops , URL: /wiki/Kamloops
","British Columbia , URL: /wiki/British_Columbia
","","","1,400","400","","","156","",""
"Little Ski Hill , URL: /wiki/Little_Ski_Hill
","McCall , URL: /wiki/McCall,_Idaho
","Idaho , URL: /wiki/Idaho
","5,600","5,195","405","50","6","1","140","$25","February 15, 2022[433]"
